location,date,new_cases
Sweden,2020-02-01,1.0
Sweden,2020-02-02,0.0
Sweden,2020-02-03,0.0
Sweden,2020-02-04,0.0
Sweden,2020-02-05,0.0
Sweden,2020-02-06,0.0
Sweden,2020-02-07,0.0
Sweden,2020-02-08,0.0
Sweden,2020-02-09,0.0
Sweden,2020-02-10,0.0
Sweden,2020-02-11,0.0
Sweden,2020-02-12,0.0
Sweden,2020-02-13,0.0
Sweden,2020-02-14,0.0
Sweden,2020-02-15,0.0
Sweden,2020-02-16,0.0
Sweden,2020-02-17,0.0
Sweden,2020-02-18,0.0
Sweden,2020-02-19,0.0
Sweden,2020-02-20,0.0
Sweden,2020-02-21,0.0
Sweden,2020-02-22,0.0
Sweden,2020-02-23,0.0
Sweden,2020-02-24,0.0
Sweden,2020-02-25,0.0
Sweden,2020-02-26,1.0
Sweden,2020-02-27,1.0
Sweden,2020-02-28,8.0
Sweden,2020-02-29,3.0
Sweden,2020-03-01,0.0
Sweden,2020-03-02,5.0
Sweden,2020-03-03,13.0
Sweden,2020-03-04,30.0
Sweden,2020-03-05,25.0
Sweden,2020-03-06,59.0
Sweden,2020-03-07,33.0
Sweden,2020-03-08,46.0
Sweden,2020-03-09,101.0
Sweden,2020-03-10,98.0
Sweden,2020-03-11,196.0
Sweden,2020-03-12,151.0
Sweden,2020-03-13,152.0
Sweden,2020-03-14,71.0
Sweden,2020-03-15,69.0
Sweden,2020-03-16,83.0
Sweden,2020-03-17,119.0
Sweden,2020-03-18,145.0
Sweden,2020-03-19,143.0
Sweden,2020-03-20,180.0
Sweden,2020-03-21,135.0
Sweden,2020-03-22,118.0
Sweden,2020-03-23,182.0
Sweden,2020-03-24,230.0
Sweden,2020-03-25,314.0
Sweden,2020-03-26,286.0
Sweden,2020-03-27,365.0
Sweden,2020-03-28,300.0
Sweden,2020-03-29,280.0
Sweden,2020-03-30,416.0
Sweden,2020-03-31,475.0
Sweden,2020-04-01,486.0
Sweden,2020-04-02,554.0
Sweden,2020-04-03,601.0
Sweden,2020-04-04,357.0
Sweden,2020-04-05,340.0
Sweden,2020-04-06,389.0
Sweden,2020-04-07,738.0
Sweden,2020-04-08,655.0
Sweden,2020-04-09,645.0
Sweden,2020-04-10,454.0
Sweden,2020-04-11,395.0
Sweden,2020-04-12,464.0
Sweden,2020-04-13,437.0
Sweden,2020-04-14,479.0
Sweden,2020-04-15,604.0
Sweden,2020-04-16,623.0
Sweden,2020-04-17,688.0
Sweden,2020-04-18,532.0
Sweden,2020-04-19,388.0
Sweden,2020-04-20,461.0
Sweden,2020-04-21,707.0
Sweden,2020-04-22,722.0
Sweden,2020-04-23,758.0
Sweden,2020-04-24,779.0
Sweden,2020-04-25,473.0
Sweden,2020-04-26,300.0
Sweden,2020-04-27,563.0
Sweden,2020-04-28,742.0
Sweden,2020-04-29,798.0
Sweden,2020-04-30,635.0
Sweden,2020-05-01,532.0
Sweden,2020-05-02,299.0
Sweden,2020-05-03,261.0
Sweden,2020-05-04,476.0
Sweden,2020-05-05,657.0
Sweden,2020-05-06,746.0
Sweden,2020-05-07,787.0
Sweden,2020-05-08,700.0
Sweden,2020-05-09,509.0
Sweden,2020-05-10,278.0
Sweden,2020-05-11,455.0
Sweden,2020-05-12,754.0
Sweden,2020-05-13,700.0
Sweden,2020-05-14,660.0
Sweden,2020-05-15,688.0
Sweden,2020-05-16,358.0
Sweden,2020-05-17,259.0
Sweden,2020-05-18,431.0
Sweden,2020-05-19,667.0
Sweden,2020-05-20,808.0
Sweden,2020-05-21,610.0
Sweden,2020-05-22,532.0
Sweden,2020-05-23,403.0
Sweden,2020-05-24,210.0
Sweden,2020-05-25,490.0
Sweden,2020-05-26,746.0
Sweden,2020-05-27,800.0
Sweden,2020-05-28,774.0
Sweden,2020-05-29,773.0
Sweden,2020-05-30,432.0
Sweden,2020-05-31,265.0
Sweden,2020-06-01,648.0
Sweden,2020-06-02,901.0
Sweden,2020-06-03,1046.0
Sweden,2020-06-04,1039.0
Sweden,2020-06-05,1146.0
Sweden,2020-06-06,783.0
Sweden,2020-06-07,462.0
Sweden,2020-06-08,677.0
Sweden,2020-06-09,936.0
Sweden,2020-06-10,1437.0
Sweden,2020-06-11,1294.0
Sweden,2020-06-12,1337.0
Sweden,2020-06-13,1042.0
Sweden,2020-06-14,418.0
Sweden,2020-06-15,684.0
Sweden,2020-06-16,1218.0
Sweden,2020-06-17,1457.0
Sweden,2020-06-18,1496.0
Sweden,2020-06-19,1213.0
Sweden,2020-06-20,702.0
Sweden,2020-06-21,321.0
Sweden,2020-06-22,800.0
Sweden,2020-06-23,1312.0
Sweden,2020-06-24,1698.0
Sweden,2020-06-25,1281.0
Sweden,2020-06-26,1203.0
Sweden,2020-06-27,760.0
Sweden,2020-06-28,420.0
Sweden,2020-06-29,727.0
Sweden,2020-06-30,805.0
Sweden,2020-07-01,684.0
Sweden,2020-07-02,689.0
Sweden,2020-07-03,699.0
Sweden,2020-07-04,370.0
Sweden,2020-07-05,315.0
Sweden,2020-07-06,251.0
Sweden,2020-07-07,278.0
Sweden,2020-07-08,537.0
Sweden,2020-07-09,335.0
Sweden,2020-07-10,377.0
Sweden,2020-07-11,314.0
Sweden,2020-07-12,106.0
Sweden,2020-07-13,170.0
Sweden,2020-07-14,315.0
Sweden,2020-07-15,299.0
Sweden,2020-07-16,273.0
Sweden,2020-07-17,299.0
Sweden,2020-07-18,200.0
Sweden,2020-07-19,110.0
Sweden,2020-07-20,131.0
Sweden,2020-07-21,226.0
Sweden,2020-07-22,297.0
Sweden,2020-07-23,220.0
Sweden,2020-07-24,262.0
Sweden,2020-07-25,138.0
Sweden,2020-07-26,42.0
Sweden,2020-07-27,71.0
Sweden,2020-07-28,283.0
Sweden,2020-07-29,301.0
Sweden,2020-07-30,302.0
Sweden,2020-07-31,258.0
Sweden,2020-08-01,303.0
Sweden,2020-08-02,38.0
Sweden,2020-08-03,165.0
Sweden,2020-08-04,334.0
Sweden,2020-08-05,425.0
Sweden,2020-08-06,378.0
Sweden,2020-08-07,380.0
Sweden,2020-08-08,260.0
Sweden,2020-08-09,73.0
Sweden,2020-08-10,196.0
Sweden,2020-08-11,417.0
Sweden,2020-08-12,444.0
Sweden,2020-08-13,362.0
Sweden,2020-08-14,344.0
Sweden,2020-08-15,226.0
Sweden,2020-08-16,63.0
Sweden,2020-08-17,174.0
